id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,other_data,sticky
16580,43,"53.33784704, -6.252051853",37a648,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5605.jpg,,,53.33784704,-6.252051853,0,Baggot Street,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001997;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5605.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5605-225x300.jpg"";}}}}",0
16581,43,"53.337814, -6.240792",37a649,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5590.jpg,,,53.337814,-6.240792,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001984;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5590.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5590-225x300.jpg"";}}}}",0
16582,43,"53.33780625, -6.251821547",37a650,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5606.jpg,,,53.33780625,-6.251821547,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001998;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5606.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5606-225x300.jpg"";}}}}",0
16583,43,"53.337798, -6.269115",37a651,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0420.jpg,,,53.337798,-6.269115,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001786;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0420.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0420-225x300.jpg"";}}}}",0
16584,43,"53.33776625, -6.251626183",37a652,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5608.jpg,,,53.33776625,-6.251626183,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002000;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5608.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5608-225x300.jpg"";}}}}",0
16585,43,"53.337743, -6.266076",37a653,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0418.jpg,,,53.337743,-6.266076,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001784;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0418.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0418-225x300.jpg"";}}}}",0
16586,43,"53.33773012, -6.251461767",37a654,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5609.jpg,,,53.33773012,-6.251461767,0,Baggot Street Lower outside Hacketts,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002001;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5609.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5609-225x300.jpg"";}}}}",0
16587,43,"53.33769699, -6.251271581",37a655,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5610.jpg,,,53.33769699,-6.251271581,0,Baggot Street Lower,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002002;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5610.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5610-225x300.jpg"";}}}}",0
16589,43,"53.33769059, -6.266124314",37a657,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0419.jpg,,,53.33769059,-6.266124314,0,Kevin Street Lower,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001785;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0419.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0419-225x300.jpg"";}}}}",0
16590,43,"53.33743684, -6.251083743",37a658,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5614.jpg,,,53.33743684,-6.251083743,0,Baggot Street Lower,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002006;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5614.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5614-225x300.jpg"";}}}}",0
16591,43,"53.337373, -6.265628",37a659,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0417.jpg,,,53.337373,-6.265628,0,,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100001783;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_0417.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_0417-225x300.jpg"";}}}}",0
16592,43,"53.33735997, -6.251689922",37a660,http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5648.jpg,,,53.33735997,-6.251689922,0,Pembroke street lower outside F.X. Buckley Steakhouse,0,0,1,0,0,,"a:1:{s:7:""gallery"";O:20:""WPGMZA\MarkerGallery"":1:{s:8:""*items"";a:1:{i:0;O:24:""WPGMZA\MarkerGalleryItem"":3:{s:13:""attachment_id"";i:100002039;s:3:""url"";s:62:""http://bleeperbike.com/wp-content/uploads/2016/12/IMG_5648.jpg"";s:9:""thumbnail"";s:71:""https://bleeperbike.com/wp-content/uploads/2016/12/IMG_5648-225x300.jpg"";}}}}",0
