id,lat,long
16564,53.33909,-6.263351
16565,53.338982,-6.256655
16566,53.338945,-6.244125
16567,53.33893887,-6.264456064
16568,53.338832,-6.262135
16569,53.338814,-6.243741
16570,53.338776,-6.300144
16571,53.338661,-6.266225
16572,53.338638,-6.266169
16573,53.338471,-6.292896
16574,53.33834491,-6.242889594
16575,53.33834031,-6.247862242
16576,53.338122,-6.253306
16577,53.338008,-6.255582
16578,53.337944,-6.252391
16579,53.33789,-6.248227
16580,53.33784704,-6.252051853
16581,53.337814,-6.240792
16582,53.33780625,-6.251821547
16583,53.337798,-6.269115
16584,53.33776625,-6.251626183
16585,53.337743,-6.266076
16586,53.33773012,-6.251461767
16587,53.33769699,-6.251271581
16589,53.33769059,-6.266124314
16590,53.33743684,-6.251083743
16591,53.337373,-6.265628
16592,53.33735997,-6.251689922
16593,53.33714696,-6.250332724
16594,53.337113,-6.244401
16595,53.33703165,-6.249981355
16596,53.337022,-6.244546
16597,53.336983,-6.272907
16598,53.336907,-6.252151
16599,53.336899,-6.272953
16600,53.33689711,-6.249616574
16601,53.336775,-6.248771
16602,53.33677449,-6.263247645
16603,53.336697,-6.249012
16604,53.336664,-6.243087
16605,53.336621,-6.265439
16606,53.33655,-6.265596
16607,53.336492,-6.265384
16608,53.33639102,-6.263397764
16609,53.336305,-6.265522
16610,53.336275,-6.257439
16611,53.33625008,-6.252448987
16612,53.336211,-6.265275
16613,53.33612976,-6.247771382
16614,53.3360739,-6.247674655
16615,53.33599382,-6.247562002
16616,53.33593,-6.265191
16617,53.33588401,-6.263446128
16618,53.335784,-6.265365
16619,53.335713,-6.251549
16620,53.335634,-6.265334
16621,53.335614,-6.265102
16622,53.335524,-6.250543
16623,53.335517,-6.250663
16624,53.335182,-6.265356
16625,53.335012,-6.265375
16626,53.334828,-6.265383
16627,53.33482684,-6.246308237
16628,53.334488,-6.265399
16629,53.3344105,-6.263041114
16630,53.334383,-6.255485
16631,53.33431991,-6.255329847
16632,53.334248,-6.265139
16633,53.334238,-6.265399
16634,53.33423,-6.290793
16635,53.334207,-6.290507
16636,53.33405904,-6.251697969
16637,53.33395553,-6.25631623
16638,53.333815,-6.251913
16639,53.333811,-6.264895
16640,53.33366,-6.258763
16641,53.333528,-6.27255
16642,53.33345865,-6.262858766
16643,53.33334488,-6.252405904
16644,53.33331745,-6.24942882
16645,53.332995,-6.252724
16646,53.332868,-6.265025
16647,53.332796,-6.262397
16648,53.33279279,-6.262547588
16649,53.332741,-6.263815
16650,53.33248888,-6.264794011
16651,53.332339,-6.253476
16652,53.332323,-6.274455
16653,53.331475,-6.26155
16654,53.330918,-6.258653
16657,0,0
16658,53.34077914,-6.255603265
16659,53.34187155,-6.2583835
16660,53.34094114,-6.25843178
16661,53.32836,-6.20865
16662,53.359428,-6.198314
